name,sku,quantity,unit
Cement 50kg Bag,CEM-001,120,bags
Steel Rod 12mm,STL-012,450,kg
PVC Pipe 2 inch,PVC-002,85,meter
Premium Emulsion Paint,PAI-WHT,60,litre
Electrical Wire 2.5mm,ELW-025,200,meter
Hex Bolt M10,BOL-M10,500,pcs
Hex Nut M10,NUT-M10,500,pcs
Safety Gloves Pair,SAF-GLV,40,pcs
Cutting Oil 5L,CON-OIL,25,litre
Welding Rod 3.2mm,WEL-032,80,kg
Angle Grinder Disc,GRD-DSC,30,pcs
Industrial Tape Roll,TAP-IND,50,pcs
Hydraulic Oil 20L,HYD-020,15,litre
Grease Cartridge,GRS-CAR,35,pcs
Safety Helmet,SAF-HEL,20,pcs
Face Shield,SAF-FSH,15,pcs
Drill Bit 10mm,DRL-010,25,pcs
Hammer Claw 500g,HAM-500,10,pcs
Measuring Tape 5m,MEA-005,18,pcs
Spirit Level 600mm,SPI-600,8,pcs
Chain Block 1T,CHN-1T,4,pcs
Rope PP 12mm,ROP-012,100,meter
Sandpaper 120 grit,SND-120,200,pcs
Masking Tape 2 inch,MSK-002,60,pcs
Cable Tie 200mm,CAB-200,300,pcs
